Gender,SeniorCitizen,Partner,Dependents,Tenure_Months,PhoneService,InternetService,MonthlyCharges,TotalCharges,Contract,PaymentMethod,PaperlessBilling,StreamingTV,StreamingMovies,TechSupport,OnlineSecurity,OnlineBackup,DeviceProtection,MultipleLines
Male,0,Yes,No,63,Yes,Fiber optic,43.17,2696.15,One year,Credit card,Yes,Yes,No,Yes,No,No,Yes,No
Male,1,No,Yes,47,Yes,No,78.77,3742.01,One year,Bank transfer,No,No,No,Yes,Yes,No,Yes,Yes
Male,0,No,Yes,66,Yes,No,84.35,5538.25,Month-to-month,Credit card,No,Yes,No,No,No,Yes,Yes,No
Male,0,Yes,Yes,32,Yes,DSL,24.31,785.27,Month-to-month,Bank transfer,Yes,No,Yes,No,Yes,Yes,No,No
Male,0,No,Yes,22,Yes,No,41.94,913.76,Two year,Bank transfer,No,Yes,Yes,No,No,Yes,Yes,Yes
Female,0,Yes,Yes,67,Yes,Fiber optic,105.96,7099.76,Two year,Electronic check,Yes,Yes,No,Yes,Yes,No,No,No
Female,1,No,Yes,68,Yes,Fiber optic,62.9,4321.04,Month-to-month,Bank transfer,No,Yes,Yes,No,No,No,Yes,Yes
Male,1,No,No,67,Yes,DSL,31.78,2079.98,Month-to-month,Credit card,No,No,No,No,No,No,Yes,No
Female,1,No,No,23,Yes,No,57.02,1316.95,Month-to-month,Electronic check,Yes,No,Yes,Yes,Yes,No,No,Yes
Male,0,No,No,50,Yes,DSL,116.46,5773.53,Month-to-month,Bank transfer,Yes,No,Yes,Yes,No,No,No,Yes
Female,0,Yes,Yes,64,Yes,No,63.9,4059.77,Month-to-month,Electronic check,No,Yes,Yes,Yes,Yes,No,No,No
Male,0,No,No,52,Yes,Fiber optic,78.61,4089.49,One year,Mailed check,Yes,No,No,Yes,No,Yes,No,Yes
Female,1,No,No,65,Yes,No,49.43,3257.65,One year,Mailed check,No,No,No,Yes,No,Yes,No,Yes
Female,1,No,Yes,29,Yes,No,87.69,2516.0,One year,Mailed check,No,Yes,No,No,Yes,Yes,No,No
Male,1,Yes,Yes,28,Yes,No,109.43,3040.95,Month-to-month,Bank transfer,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
Male,1,No,No,64,Yes,Fiber optic,81.38,5234.74,Two year,Bank transfer,No,Yes,No,No,Yes,Yes,Yes,No
Male,1,Yes,No,70,Yes,Fiber optic,23.26,1612.93,Two year,Electronic check,Yes,Yes,No,Yes,No,No,No,Yes
Female,1,Yes,No,31,Yes,Fiber optic,46.94,1500.99,Month-to-month,Credit card,No,No,No,No,No,Yes,Yes,Yes
Female,0,Yes,Yes,35,Yes,Fiber optic,100.41,3519.88,Month-to-month,Mailed check,No,No,Yes,No,No,No,No,Yes
Female,1,Yes,No,13,Yes,No,89.05,1113.65,One year,Bank transfer,No,No,No,No,Yes,No,Yes,No
Female,1,No,No,69,Yes,DSL,37.45,2612.08,One year,Bank transfer,No,Yes,Yes,No,No,No,Yes,Yes
Female,1,No,No,44,Yes,Fiber optic,42.82,1865.77,One year,Credit card,No,Yes,Yes,Yes,Yes,Yes,No,Yes
Female,0,Yes,No,22,Yes,No,59.7,1272.96,Month-to-month,Electronic check,No,Yes,Yes,No,No,Yes,Yes,No
Male,0,No,No,17,Yes,Fiber optic,33.13,597.06,One year,Bank transfer,No,Yes,Yes,No,No,No,No,No
Female,0,No,Yes,12,Yes,DSL,64.19,756.86,Two year,Mailed check,No,No,No,Yes,No,No,No,Yes
Female,0,No,No,38,Yes,Fiber optic,79.7,3058.28,Month-to-month,Mailed check,No,No,Yes,No,Yes,No,Yes,No
Male,0,Yes,No,69,Yes,DSL,100.88,6952.01,Two year,Credit card,No,No,No,Yes,No,Yes,Yes,Yes
Male,1,Yes,Yes,24,Yes,DSL,117.23,2791.73,Month-to-month,Electronic check,No,Yes,No,No,No,No,No,No
Male,0,No,No,43,Yes,DSL,28.02,1229.92,Two year,Credit card,Yes,Yes,No,No,Yes,Yes,Yes,No
Female,0,Yes,No,32,Yes,Fiber optic,93.76,2953.67,Two year,Bank transfer,No,Yes,Yes,Yes,No,No,No,Yes
Male,0,No,No,7,Yes,DSL,106.37,716.37,Month-to-month,Bank transfer,Yes,No,Yes,Yes,Yes,No,Yes,No
Female,0,Yes,No,32,Yes,No,35.77,1103.78,Month-to-month,Electronic check,Yes,No,Yes,No,No,No,Yes,Yes
Male,1,No,No,46,Yes,No,92.44,4227.31,Two year,Credit card,Yes,Yes,No,No,No,No,Yes,Yes
Female,1,Yes,No,58,Yes,No,49.57,2851.39,Month-to-month,Electronic check,No,Yes,No,Yes,No,Yes,No,Yes
Male,0,Yes,Yes,42,Yes,DSL,60.98,2543.36,Month-to-month,Mailed check,Yes,No,Yes,Yes,Yes,No,No,No
Male,0,No,Yes,47,Yes,Fiber optic,42.07,1999.07,Two year,Electronic check,No,No,No,Yes,No,Yes,Yes,No
Male,1,Yes,Yes,28,Yes,No,116.06,3209.39,Two year,Mailed check,Yes,No,Yes,No,No,No,Yes,Yes
Male,1,No,No,71,Yes,No,60.16,4255.11,One year,Bank transfer,No,No,No,Yes,Yes,No,No,No
Male,1,Yes,Yes,58,Yes,Fiber optic,115.98,6676.86,Month-to-month,Bank transfer,Yes,Yes,No,Yes,No,Yes,Yes,Yes
Male,0,No,No,46,Yes,DSL,35.61,1614.56,Two year,Credit card,Yes,Yes,No,No,Yes,No,Yes,No
Female,1,No,No,49,Yes,DSL,27.85,1320.24,Month-to-month,Electronic check,No,Yes,No,Yes,No,Yes,No,Yes
Female,0,Yes,No,7,Yes,Fiber optic,87.36,661.26,One year,Mailed check,Yes,No,Yes,No,Yes,No,No,Yes
Male,1,Yes,No,65,Yes,Fiber optic,63.45,4144.04,Two year,Mailed check,Yes,Yes,Yes,No,No,No,Yes,Yes
Female,0,No,Yes,55,Yes,Fiber optic,56.53,3078.2,Two year,Credit card,Yes,No,Yes,Yes,Yes,No,Yes,Yes
Male,1,Yes,No,7,Yes,No,44.3,322.2,Month-to-month,Bank transfer,No,No,Yes,No,Yes,Yes,Yes,No
Female,0,No,Yes,19,Yes,DSL,89.51,1717.52,One year,Mailed check,No,Yes,No,Yes,Yes,No,No,No
Female,0,No,Yes,3,Yes,Fiber optic,49.25,186.09,One year,Electronic check,Yes,Yes,No,Yes,Yes,Yes,No,No
Female,1,No,Yes,51,Yes,No,94.44,4768.28,One year,Electronic check,No,No,Yes,No,Yes,Yes,No,No
Male,1,Yes,Yes,12,Yes,Fiber optic,92.99,1117.95,One year,Bank transfer,No,Yes,Yes,Yes,Yes,Yes,No,Yes
Male,1,Yes,Yes,19,Yes,DSL,85.62,1633.26,One year,Mailed check,Yes,No,No,No,No,No,No,Yes
Female,0,Yes,Yes,14,Yes,No,33.15,416.72,Month-to-month,Bank transfer,Yes,No,Yes,No,No,Yes,No,No
Female,0,No,No,18,Yes,DSL,36.38,627.47,Two year,Mailed check,Yes,Yes,Yes,No,No,No,No,Yes
Female,1,No,Yes,52,Yes,No,97.62,5087.03,Month-to-month,Credit card,No,Yes,Yes,No,Yes,No,Yes,Yes
Female,1,Yes,No,57,Yes,Fiber optic,59.8,3389.06,Two year,Electronic check,Yes,No,No,Yes,Yes,Yes,Yes,No
Male,1,Yes,No,42,Yes,Fiber optic,65.09,2701.67,Two year,Mailed check,Yes,Yes,Yes,No,No,Yes,No,Yes
Female,0,Yes,Yes,71,Yes,DSL,58.06,4149.09,Two year,Electronic check,No,No,No,No,No,Yes,Yes,Yes
Female,1,No,Yes,1,Yes,No,82.26,57.57,One year,Mailed check,Yes,No,No,No,No,Yes,Yes,Yes
Male,0,Yes,No,72,Yes,DSL,102.01,7315.48,Month-to-month,Electronic check,No,No,Yes,Yes,Yes,No,Yes,Yes
Female,0,Yes,No,72,Yes,Fiber optic,37.74,2712.81,One year,Credit card,Yes,No,Yes,No,No,Yes,Yes,No
Male,0,Yes,Yes,68,Yes,Fiber optic,61.38,4144.82,Two year,Bank transfer,No,No,No,No,Yes,No,No,No
Male,0,Yes,No,30,Yes,No,90.86,2773.73,Month-to-month,Mailed check,No,No,Yes,No,No,Yes,Yes,Yes
Female,0,Yes,No,33,Yes,Fiber optic,99.02,3248.44,One year,Electronic check,Yes,Yes,No,No,No,No,Yes,Yes
Female,1,No,Yes,20,Yes,No,82.72,1693.61,One year,Bank transfer,Yes,Yes,No,No,Yes,Yes,No,Yes
Female,0,Yes,No,49,Yes,No,82.65,4084.09,One year,Electronic check,No,No,Yes,No,Yes,No,No,No
Male,0,Yes,No,68,Yes,No,50.23,3376.86,Month-to-month,Credit card,Yes,Yes,No,No,No,No,Yes,Yes
Male,0,No,Yes,27,Yes,No,92.46,2492.36,Two year,Electronic check,No,No,Yes,Yes,No,Yes,No,Yes
Female,1,Yes,No,26,Yes,DSL,39.25,998.16,Month-to-month,Bank transfer,Yes,Yes,Yes,Yes,No,No,No,Yes
Female,1,Yes,Yes,32,Yes,DSL,37.13,1169.3,One year,Electronic check,Yes,No,Yes,Yes,No,No,Yes,No
Male,1,Yes,Yes,40,Yes,No,53.23,2099.01,One year,Electronic check,No,No,No,No,Yes,Yes,Yes,No
Female,1,No,No,51,Yes,DSL,38.34,1997.07,Month-to-month,Credit card,Yes,No,No,No,Yes,No,No,Yes
Female,0,No,No,52,Yes,Fiber optic,101.76,5321.2,Two year,Credit card,Yes,Yes,Yes,No,No,Yes,No,Yes
Male,0,Yes,No,56,Yes,DSL,76.72,4280.54,Two year,Credit card,No,Yes,No,Yes,No,No,Yes,Yes
Male,0,Yes,Yes,42,Yes,DSL,69.43,2932.08,Two year,Mailed check,No,No,No,No,Yes,Yes,No,No
Male,0,No,Yes,56,Yes,Fiber optic,91.78,5181.19,Month-to-month,Bank transfer,Yes,Yes,No,Yes,No,Yes,Yes,No
Female,0,Yes,No,41,Yes,DSL,91.18,3728.98,Month-to-month,Credit card,No,No,Yes,No,Yes,Yes,Yes,Yes
Female,0,Yes,Yes,19,Yes,No,92.13,1749.14,One year,Credit card,No,Yes,No,No,No,No,No,Yes
Male,1,No,No,55,Yes,DSL,80.46,4433.09,Month-to-month,Credit card,No,Yes,No,Yes,Yes,No,No,Yes
Male,1,Yes,No,32,Yes,No,67.25,2176.17,Month-to-month,Credit card,No,No,No,No,No,No,No,Yes
Male,1,Yes,Yes,39,Yes,No,92.7,3621.67,One year,Electronic check,No,No,Yes,Yes,Yes,No,No,Yes
Male,0,Yes,No,36,Yes,Fiber optic,105.79,3759.86,Month-to-month,Bank transfer,Yes,No,Yes,Yes,No,Yes,Yes,Yes
Female,0,Yes,No,53,Yes,DSL,97.04,5116.91,Two year,Bank transfer,Yes,Yes,Yes,No,No,No,No,No
Female,0,No,Yes,49,Yes,Fiber optic,88.35,4318.16,One year,Credit card,No,Yes,Yes,No,No,No,No,No
Female,0,Yes,No,13,Yes,No,45.53,600.31,Two year,Mailed check,No,Yes,Yes,Yes,Yes,No,Yes,Yes
Male,0,Yes,Yes,45,Yes,DSL,41.94,1865.63,Two year,Mailed check,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
Female,1,No,No,38,Yes,Fiber optic,66.7,2578.22,Month-to-month,Electronic check,No,Yes,No,No,No,Yes,No,No
Male,1,Yes,No,57,Yes,DSL,26.94,1583.52,Month-to-month,Credit card,Yes,Yes,No,No,Yes,Yes,Yes,Yes
Male,0,No,No,58,Yes,DSL,21.88,1268.81,Two year,Bank transfer,No,Yes,No,No,No,No,Yes,Yes
Female,0,No,No,50,Yes,No,115.42,5802.8,One year,Credit card,Yes,Yes,No,No,Yes,No,No,Yes
Male,1,No,Yes,71,Yes,No,23.93,1687.45,Two year,Bank transfer,No,Yes,No,Yes,Yes,Yes,Yes,Yes
Female,1,No,Yes,63,Yes,DSL,58.88,3738.71,One year,Electronic check,No,Yes,No,Yes,Yes,No,Yes,Yes
Male,1,Yes,Yes,5,Yes,No,93.55,466.64,Two year,Mailed check,Yes,Yes,Yes,No,Yes,No,Yes,Yes
Male,0,Yes,No,15,Yes,Fiber optic,69.71,1075.57,Two year,Credit card,No,Yes,Yes,No,Yes,Yes,Yes,No
Male,1,Yes,No,16,Yes,DSL,47.39,784.0,Two year,Electronic check,Yes,Yes,No,Yes,Yes,No,Yes,Yes
Female,1,No,Yes,23,Yes,DSL,112.61,2610.7,Month-to-month,Bank transfer,No,No,Yes,Yes,Yes,Yes,No,Yes
Male,0,Yes,No,45,Yes,No,61.88,2790.37,Two year,Mailed check,No,Yes,No,Yes,Yes,Yes,Yes,No
Male,1,No,Yes,23,Yes,Fiber optic,35.98,869.81,One year,Bank transfer,No,Yes,Yes,Yes,Yes,Yes,Yes,No
Female,1,Yes,No,10,Yes,DSL,109.51,1117.24,Month-to-month,Bank transfer,Yes,Yes,Yes,No,Yes,No,Yes,Yes
Male,1,Yes,No,63,Yes,Fiber optic,25.43,1595.68,Month-to-month,Credit card,Yes,No,No,Yes,No,Yes,Yes,Yes
Female,0,No,Yes,18,Yes,Fiber optic,31.11,556.53,Two year,Mailed check,Yes,Yes,Yes,No,No,Yes,No,No
Male,0,No,No,2,Yes,No,93.0,209.62,Month-to-month,Mailed check,Yes,No,Yes,Yes,No,Yes,No,No
Male,1,Yes,Yes,13,Yes,Fiber optic,65.24,822.17,One year,Mailed check,Yes,Yes,No,No,Yes,No,Yes,No
Female,1,Yes,Yes,18,Yes,Fiber optic,107.42,1924.1,Two year,Bank transfer,Yes,No,No,No,Yes,Yes,No,Yes
Male,1,No,Yes,7,Yes,No,31.1,204.26,Two year,Electronic check,Yes,Yes,No,Yes,Yes,No,Yes,Yes
Female,1,Yes,Yes,46,Yes,Fiber optic,109.79,5050.7,One year,Credit card,No,Yes,No,No,No,No,Yes,Yes
Female,0,Yes,Yes,12,Yes,Fiber optic,28.02,376.03,Month-to-month,Mailed check,No,Yes,Yes,Yes,No,No,Yes,No
Female,0,Yes,Yes,54,Yes,DSL,64.39,3491.53,Two year,Bank transfer,No,No,No,No,No,No,No,Yes
Female,1,Yes,Yes,22,Yes,Fiber optic,98.93,2149.14,One year,Credit card,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes
Female,1,No,Yes,6,Yes,DSL,119.38,723.73,Two year,Electronic check,No,No,Yes,No,No,Yes,No,Yes
Female,1,Yes,Yes,52,Yes,No,113.11,5908.57,Two year,Bank transfer,No,No,No,Yes,No,No,Yes,No
Male,1,Yes,No,18,Yes,Fiber optic,87.8,1542.09,Month-to-month,Bank transfer,Yes,Yes,Yes,No,Yes,Yes,Yes,No
Male,1,No,Yes,66,Yes,No,59.44,3922.09,One year,Bank transfer,No,No,Yes,No,No,No,No,No
Female,1,No,Yes,28,Yes,No,92.79,2592.54,One year,Credit card,Yes,Yes,Yes,Yes,No,No,No,Yes
Female,1,Yes,No,12,Yes,No,20.66,261.8,Two year,Mailed check,Yes,Yes,No,No,No,Yes,No,No
Male,0,No,No,72,Yes,No,93.99,6739.73,Two year,Credit card,Yes,No,No,Yes,No,Yes,Yes,Yes
Female,1,No,No,64,Yes,No,119.43,7600.19,Two year,Credit card,Yes,No,Yes,No,Yes,Yes,Yes,No
Female,1,No,Yes,18,Yes,Fiber optic,55.74,958.61,One year,Electronic check,Yes,Yes,Yes,Yes,No,No,No,No
Male,0,Yes,No,13,Yes,Fiber optic,73.44,939.88,One year,Credit card,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Male,0,No,No,59,Yes,Fiber optic,111.6,6546.06,Two year,Bank transfer,Yes,No,No,Yes,No,Yes,Yes,Yes
Male,0,Yes,No,19,Yes,No,88.8,1667.94,Month-to-month,Electronic check,Yes,No,No,Yes,Yes,Yes,Yes,Yes
Female,0,Yes,Yes,16,Yes,No,110.85,1727.93,Month-to-month,Mailed check,Yes,No,Yes,Yes,Yes,No,No,No
Male,0,Yes,Yes,65,Yes,No,98.08,6386.5,Month-to-month,Bank transfer,Yes,Yes,Yes,Yes,No,No,Yes,No
Female,0,Yes,No,24,Yes,DSL,103.47,2531.41,One year,Electronic check,No,Yes,Yes,No,No,No,Yes,Yes
Female,1,Yes,No,64,Yes,Fiber optic,31.57,1998.84,One year,Mailed check,Yes,No,No,Yes,Yes,No,Yes,No
Male,1,No,Yes,67,Yes,No,85.85,5710.45,Month-to-month,Electronic check,No,Yes,No,Yes,No,Yes,Yes,No
Female,1,No,No,36,Yes,No,96.48,3499.88,Two year,Credit card,No,No,Yes,No,Yes,Yes,No,No
Male,0,Yes,No,30,Yes,No,82.84,2448.66,Month-to-month,Mailed check,No,No,Yes,No,Yes,Yes,No,No
Female,1,Yes,Yes,38,Yes,Fiber optic,86.21,3275.01,Month-to-month,Credit card,No,No,No,No,No,Yes,Yes,Yes
Female,1,Yes,No,22,Yes,No,69.15,1484.75,Two year,Credit card,No,Yes,Yes,No,No,No,No,No
Male,1,No,Yes,42,Yes,No,26.14,1106.93,One year,Credit card,Yes,No,No,No,No,No,Yes,Yes
Male,1,Yes,No,31,Yes,DSL,84.81,2638.36,Month-to-month,Bank transfer,Yes,No,No,No,No,Yes,No,Yes
Male,1,Yes,Yes,49,Yes,Fiber optic,77.04,3757.2,One year,Bank transfer,Yes,No,No,No,Yes,No,Yes,Yes
Female,0,Yes,Yes,34,Yes,No,24.75,891.12,One year,Bank transfer,Yes,No,No,Yes,No,Yes,No,No
Female,1,Yes,Yes,70,Yes,No,51.34,3585.23,Two year,Mailed check,No,Yes,No,No,No,Yes,Yes,No
Female,1,No,No,19,Yes,DSL,44.04,861.4,Two year,Mailed check,No,No,No,Yes,No,Yes,No,Yes
Female,1,No,No,20,Yes,Fiber optic,39.19,758.36,Two year,Electronic check,Yes,Yes,No,Yes,Yes,No,No,Yes
Male,1,No,Yes,63,Yes,Fiber optic,98.22,6143.39,One year,Electronic check,No,Yes,Yes,Yes,Yes,No,No,Yes
Female,0,No,Yes,16,Yes,DSL,97.32,1538.46,Month-to-month,Mailed check,Yes,No,No,No,No,Yes,No,No
Male,1,Yes,No,41,Yes,Fiber optic,74.57,3054.86,Two year,Bank transfer,No,Yes,Yes,Yes,Yes,No,No,No
Female,1,Yes,No,16,Yes,Fiber optic,73.49,1149.48,One year,Electronic check,Yes,No,Yes,Yes,No,No,No,Yes
Female,1,No,No,11,Yes,DSL,102.32,1169.57,Month-to-month,Bank transfer,Yes,No,No,No,No,Yes,Yes,Yes
Female,1,Yes,Yes,18,Yes,DSL,20.31,335.59,Month-to-month,Mailed check,No,No,No,No,Yes,No,Yes,No
Female,1,Yes,Yes,26,Yes,DSL,28.44,726.2,Two year,Mailed check,Yes,No,Yes,No,Yes,Yes,No,No
Male,0,No,No,20,Yes,No,28.91,564.99,One year,Electronic check,Yes,Yes,Yes,No,No,No,No,Yes
Female,0,No,Yes,27,Yes,Fiber optic,80.01,2209.79,Month-to-month,Electronic check,No,No,Yes,No,Yes,No,No,Yes
Female,0,No,No,61,Yes,No,33.32,2014.84,Two year,Bank transfer,Yes,Yes,Yes,Yes,No,Yes,No,No
Female,1,No,Yes,1,Yes,No,45.37,57.34,Month-to-month,Mailed check,No,Yes,No,No,No,Yes,Yes,No
Male,1,No,No,19,Yes,Fiber optic,46.04,856.09,One year,Bank transfer,No,No,No,Yes,No,No,Yes,No
Male,1,No,Yes,25,Yes,No,34.86,844.49,One year,Credit card,Yes,No,Yes,No,No,No,No,No
Female,0,Yes,No,19,Yes,No,32.37,574.39,Two year,Mailed check,Yes,Yes,No,Yes,Yes,No,Yes,No
Female,1,Yes,No,37,Yes,DSL,88.13,3278.87,Month-to-month,Electronic check,No,No,No,No,Yes,No,Yes,No
Female,1,Yes,Yes,17,Yes,No,41.14,654.25,Two year,Credit card,Yes,No,No,Yes,Yes,No,Yes,Yes
Male,0,No,No,21,Yes,Fiber optic,58.85,1226.09,Two year,Bank transfer,Yes,No,Yes,No,Yes,No,No,No
Female,1,Yes,No,35,Yes,No,76.31,2663.16,One year,Electronic check,Yes,No,No,Yes,Yes,No,Yes,No
Female,0,Yes,No,56,Yes,DSL,27.92,1593.67,Two year,Credit card,No,Yes,Yes,Yes,Yes,No,No,Yes
Male,0,No,Yes,33,Yes,DSL,55.55,1841.71,One year,Electronic check,Yes,No,No,No,No,No,No,No
Female,0,No,Yes,28,Yes,DSL,38.51,1102.98,One year,Electronic check,Yes,Yes,No,No,No,No,No,No
Male,0,Yes,Yes,39,Yes,DSL,28.76,1085.15,Month-to-month,Credit card,Yes,Yes,No,Yes,Yes,No,No,Yes
Male,1,No,No,55,Yes,DSL,22.18,1186.51,One year,Mailed check,Yes,No,No,Yes,No,Yes,Yes,No
Female,0,No,No,64,Yes,Fiber optic,93.71,6007.02,Two year,Credit card,Yes,Yes,Yes,No,No,Yes,No,No
Female,1,No,Yes,15,Yes,DSL,69.48,1086.1,One year,Mailed check,No,No,No,Yes,Yes,No,No,Yes
Female,1,Yes,Yes,50,Yes,Fiber optic,115.98,5832.31,Two year,Electronic check,No,Yes,Yes,Yes,Yes,No,Yes,No
Male,1,No,No,39,Yes,No,43.47,1701.01,Month-to-month,Mailed check,Yes,Yes,No,No,Yes,Yes,Yes,Yes
Male,1,Yes,Yes,34,Yes,No,119.37,4087.07,Month-to-month,Credit card,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Female,1,Yes,Yes,47,Yes,No,35.7,1657.11,One year,Bank transfer,Yes,Yes,Yes,No,No,Yes,Yes,No
Female,1,No,Yes,37,Yes,DSL,70.5,2567.02,Two year,Credit card,Yes,Yes,No,No,No,No,No,Yes
Male,0,No,No,19,Yes,Fiber optic,97.02,1865.14,Month-to-month,Credit card,Yes,No,Yes,Yes,Yes,No,No,No
Female,0,No,No,41,Yes,No,110.92,4498.51,Month-to-month,Credit card,No,No,Yes,No,Yes,Yes,No,No
Male,1,No,Yes,67,Yes,DSL,119.19,7964.12,Month-to-month,Bank transfer,Yes,No,No,Yes,Yes,No,No,No
Female,1,Yes,No,7,Yes,Fiber optic,95.66,713.75,Month-to-month,Mailed check,No,No,No,Yes,No,Yes,Yes,No
Female,1,Yes,Yes,47,Yes,DSL,65.43,3039.87,One year,Mailed check,No,Yes,No,Yes,No,No,No,No
Female,1,Yes,Yes,55,Yes,No,119.65,6599.65,Month-to-month,Credit card,No,Yes,Yes,Yes,No,No,Yes,Yes
Male,1,No,Yes,16,Yes,No,80.16,1273.42,Month-to-month,Electronic check,No,No,No,No,No,No,Yes,Yes
Female,0,Yes,No,54,Yes,DSL,24.87,1382.41,Month-to-month,Bank transfer,Yes,Yes,No,No,No,No,No,No
Female,1,No,Yes,17,Yes,No,96.2,1635.88,One year,Electronic check,No,No,Yes,No,No,Yes,No,No
Female,0,Yes,Yes,22,Yes,No,90.72,2003.04,Two year,Electronic check,Yes,No,Yes,Yes,Yes,Yes,No,Yes
Female,1,Yes,No,57,Yes,DSL,28.46,1625.57,One year,Credit card,Yes,No,Yes,No,No,No,Yes,Yes
Female,0,Yes,No,70,Yes,Fiber optic,36.82,2541.8,Two year,Mailed check,Yes,No,Yes,Yes,Yes,No,No,Yes
Female,0,Yes,Yes,19,Yes,DSL,61.28,1146.74,Two year,Mailed check,No,No,Yes,No,Yes,No,No,No
Male,1,Yes,Yes,62,Yes,No,22.89,1432.53,Two year,Mailed check,No,No,No,Yes,Yes,Yes,No,Yes
Female,0,Yes,No,69,Yes,No,115.26,7999.08,One year,Mailed check,Yes,Yes,No,No,No,No,No,Yes
Male,1,Yes,No,6,Yes,No,36.14,220.25,Month-to-month,Mailed check,No,No,Yes,No,No,No,No,No
Female,0,Yes,Yes,42,Yes,No,54.16,2270.7,One year,Electronic check,Yes,Yes,No,No,No,Yes,Yes,Yes
Female,1,Yes,Yes,16,Yes,DSL,55.3,916.08,One year,Bank transfer,Yes,No,Yes,Yes,Yes,No,No,Yes
Female,1,Yes,No,39,Yes,Fiber optic,100.84,3904.87,Two year,Mailed check,Yes,Yes,No,Yes,No,No,Yes,Yes
Male,1,Yes,No,9,Yes,DSL,78.82,733.98,Two year,Electronic check,No,No,Yes,No,Yes,No,No,No
Female,0,Yes,Yes,16,Yes,Fiber optic,88.02,1404.98,One year,Credit card,No,Yes,No,Yes,No,Yes,Yes,Yes
Female,1,Yes,Yes,10,Yes,DSL,111.7,1086.69,One year,Credit card,Yes,No,No,Yes,Yes,No,Yes,No
Male,1,Yes,No,43,Yes,No,71.97,3068.38,Month-to-month,Electronic check,Yes,Yes,No,No,Yes,Yes,Yes,No
Male,0,Yes,No,39,Yes,Fiber optic,81.07,3154.91,One year,Electronic check,No,Yes,Yes,No,No,No,No,Yes
Male,0,Yes,Yes,4,Yes,No,65.41,244.46,Two year,Electronic check,Yes,Yes,No,No,No,No,No,Yes
Female,1,No,No,18,Yes,No,99.7,1750.65,Two year,Mailed check,Yes,No,No,No,No,No,Yes,Yes
Male,1,No,Yes,31,Yes,DSL,70.71,2225.53,Two year,Mailed check,Yes,No,Yes,No,No,No,No,No
Male,1,Yes,Yes,43,Yes,No,36.23,1553.32,Month-to-month,Mailed check,No,Yes,Yes,No,No,No,Yes,No
Male,0,Yes,No,1,Yes,Fiber optic,56.28,13.65,Month-to-month,Bank transfer,Yes,Yes,Yes,Yes,No,Yes,Yes,No
Male,0,Yes,No,44,Yes,DSL,104.75,4583.6,Month-to-month,Mailed check,No,Yes,No,Yes,No,No,Yes,No
Female,0,Yes,Yes,22,Yes,DSL,114.12,2558.35,Month-to-month,Mailed check,No,No,No,No,Yes,Yes,Yes,No
Female,0,No,Yes,42,Yes,No,44.72,1891.19,Month-to-month,Credit card,Yes,Yes,No,No,No,No,Yes,No
Female,1,No,No,68,Yes,No,89.45,6104.16,Two year,Electronic check,Yes,Yes,Yes,No,Yes,No,Yes,No
Female,1,Yes,Yes,49,Yes,DSL,77.14,3823.41,One year,Credit card,No,Yes,Yes,No,No,No,No,No
Female,1,Yes,Yes,53,Yes,Fiber optic,56.75,3007.5,Month-to-month,Bank transfer,Yes,No,Yes,No,Yes,No,Yes,Yes
Female,0,No,No,10,Yes,Fiber optic,56.02,564.8,Two year,Bank transfer,Yes,Yes,No,Yes,No,No,No,No
Male,1,Yes,Yes,2,Yes,No,67.2,135.66,Two year,Mailed check,No,Yes,No,No,No,Yes,No,Yes
Male,1,Yes,Yes,54,Yes,Fiber optic,40.96,2206.84,Two year,Electronic check,No,No,No,Yes,No,No,No,No
Male,0,No,No,3,Yes,Fiber optic,76.76,183.5,Month-to-month,Credit card,Yes,No,Yes,No,Yes,No,No,No
Male,1,Yes,Yes,22,Yes,DSL,30.43,674.75,Month-to-month,Credit card,No,Yes,Yes,No,Yes,No,Yes,No
Female,0,Yes,Yes,22,Yes,No,52.68,1199.94,One year,Credit card,Yes,No,Yes,Yes,Yes,No,No,No
Female,1,Yes,Yes,40,Yes,DSL,78.75,3150.25,One year,Electronic check,No,Yes,No,No,No,No,Yes,Yes
Female,1,Yes,No,59,Yes,DSL,54.68,3260.38,Month-to-month,Credit card,No,No,Yes,Yes,No,Yes,Yes,Yes
Male,1,No,Yes,69,Yes,Fiber optic,49.19,3435.74,Month-to-month,Electronic check,No,No,No,Yes,No,Yes,Yes,No
Female,1,No,No,10,Yes,DSL,83.89,856.46,One year,Electronic check,Yes,No,Yes,Yes,No,No,No,No
Female,0,No,No,11,Yes,DSL,74.84,797.47,Month-to-month,Electronic check,Yes,Yes,No,Yes,No,Yes,Yes,Yes
Male,0,No,Yes,20,Yes,No,64.07,1249.19,Two year,Electronic check,No,No,No,Yes,Yes,Yes,No,Yes
Male,1,Yes,Yes,48,Yes,Fiber optic,110.88,5292.24,Month-to-month,Electronic check,Yes,Yes,Yes,Yes,Yes,No,Yes,No
Female,1,Yes,Yes,72,Yes,DSL,82.68,5965.43,Month-to-month,Bank transfer,No,Yes,Yes,No,No,Yes,No,Yes
